ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-73.0081,-41.1651,0,2016194,0,0,0,0,0
-72.9387,-41.1838,0,2016195,0,0,0,0,0
-72.8587,-41.2181,1,2016196,0,0,0,0,0
-72.7511,-41.3363,1,2016197,0,0,0,0,0
-72.6621,-41.4677,1,2016198,0,0,0,0,0
-72.6436,-41.3863,1,2016199,0,0,0,0,0
-72.6237,-41.4013,0,2016200,0,0,0,0,0
-72.5957,-41.4163,1,2016201,0,0,0,0,0
-72.531,-40.9381,1,2016202,0,0,0,0,0
-72.5355,-40.9352,1,2016203,0,0,0,0,0
-72.5355,-40.9352,1,2016204,0,0,0,0,0
-72.5355,-40.9352,1,2016205,0,0,0,0,0
-72.5258,-41.0762,1,2016206,0,0,0,0,0
-72.5296,-41.2649,1,2016207,0,0,0,0,0
-72.4339,-41.4171,1,2016208,0,0,0,0,0
-72.38,-41.622,1,2016209,0,0,0,0,0
-72.3572,-41.6558,1,2016210,0,0,0,0,0
-72.3328,-41.751,0,2016211,0,0,0,0,0
-72.299,-41.8233,1,2016212,0,0,0,0,0
-72.2242,-41.7463,1,2016213,0,0,0,0,0
-72.1976,-41.8429,0,2016214,0,0,0,0,0
-72.1869,-41.9394,1,2016215,0,0,0,0,0
-72.2603,-41.9184,1,2016216,0,0,0,0,0
-72.2266,-41.8877,1,2016217,0,0,0,0,0
-72.2371,-42.0531,1,2016218,0,0,0,0,0
-72.1589,-42.0836,1,2016219,0,0,0,0,0
-72.1798,-42.111,1,2016220,0,0,0,0,0
-72.2217,-42.1983,0,2016221,0,0,0,0,0
-72.2823,-42.2884,1,2016222,0,0,0,0,0
-72.3671,-42.321,1,2016223,0,0,0,0,0
-72.3367,-42.8214,1,2016224,0,0,0,0,0
-72.2251,-43.451,1,2016225,0,0,0,0,0
-72.1421,-43.5878,1,2016226,0,0,0,0,0
-72.0448,-44.207,1,2016227,0,0,0,0,0
-72.0102,-44.4478,0,2016228,0,0,0,0,0
-71.9867,-44.6281,1,2016229,0,0,0,0,0
-71.9637,-44.8404,1,2016230,0,0,0,0,0
-71.9334,-44.864,0,2016231,0,0,0,0,0
-71.8912,-44.8854,1,2016232,0,0,0,0,0
-71.8147,-44.9957,1,2016233,0,0,0,0,0
-71.7152,-45.04,1,2016234,0,0,0,0,0
-71.6458,-45.0049,0,2016235,0,0,0,0,0
-71.5797,-44.9698,1,2016236,0,0,0,0,0
-71.4962,-45.1062,1,2016237,0,0,0,0,0
-71.4324,-45.0098,0,2016238,0,0,0,0,0
-71.4001,-44.9133,1,2016239,0,0,0,0,0
-71.4249,-45.161,1,2016240,0,0,0,0,0
-71.3727,-45.0473,1,2016241,0,0,0,0,0
-71.3709,-44.8305,1,2016242,0,0,0,0,0
-71.3589,-44.8411,0,2016243,0,0,0,0,0
-71.3318,-44.8694,1,2016244,0,0,0,0,0
-71.2549,-44.9748,1,2016245,0,0,0,0,0
-71.1807,-44.9623,0,2016246,0,0,0,0,0
-71.0989,-44.9263,1,2016247,0,0,0,0,0
-70.9897,-44.7403,1,2016248,0,0,0,0,0
-70.9545,-44.5925,1,2016249,0,0,0,0,0
